Country,ISO,Сумма Процент зараженных,Сумма Процент смертей,Сумма ВВП,Среднедушевой доход
New Zealand,NZL,"0,02%","0,00%",208.744,12147
Nicaragua,NIC,"0,00%","0,00%",34.875,
Niger,NER,"0,00%","0,00%",34.659,307
Nigeria,NGA,"0,00%","0,00%",1215.389,493
Norway,NOR,"0,15%","0,00%",407.412,19308
Oman,OMN,"0,09%","0,00%",204.762,
Pakistan,PAK,"0,02%","0,00%",1201.629,480
Palau,PLW,,,0.289,
Panama,PAN,"0,21%","0,01%",111.998,2011
Papua New Guinea,PNG,"0,00%","0,00%",34.617,
Paraguay,PRY,"0,01%","0,00%",96.306,1292
Peru,PER,"0,25%","0,01%",476.014,1077
Philippines,PHL,"0,01%","0,00%",1027.186,478
Poland,POL,"0,05%","0,00%",1287.275,4578
Portugal,PRT,"0,28%","0,01%",346.926,5519
Puerto Rico,PRI,"0,08%","0,00%",130.925,
Qatar,QAT,"1,00%","0,00%",358.869,5117
Republic of Congo,COG,,,31.219,
Romania,ROU,"0,08%","0,01%",549.195,2618
Russia,RUS,"0,17%","0,00%",4389.96,4129
Rwanda,RWA,"0,00%","0,00%",30.971,235
Samoa,WSM,,,1.168,
San Marino,SMR,"1,91%","0,12%",2.084,
Saudi Arabia,SAU,"0,14%","0,00%",1900.894,4762
Senegal,SEN,"0,01%","0,00%",64.101,402
Serbia,SRB,"0,12%","0,00%",130.222,3020
Seychelles,SYC,"0,01%","0,00%",3.06,
Sierra Leone,SLE,"0,01%","0,00%",13.089,233
Singapore,SGP,"0,45%","0,00%",593.802,7345
Slovak Republic,SVK,,,198.382,
Slovenia,SVN,"0,07%","0,00%",79.179,8656
Solomon Islands,SLB,,,1.455,
Somalia,SOM,"0,01%","0,00%",12.655,
South Africa,ZAF,"0,02%","0,00%",804.688,1217
South Sudan,SSD,"0,00%","0,00%",22.092,
Spain,ESP,"0,59%","0,06%",1923.646,7284
Sri Lanka,LKA,"0,00%","0,00%",304.166,719
St. Kitts and Nevis,KNA,,,1.656,
St. Lucia,LCA,,,2.934,
St. Vincent and the Grenadines,VCT,,,1.381,
Sudan,SDN,"0,00%","0,00%",175.228,579
Suriname,SUR,"0,00%","0,00%",9.358,
Sweden,SWE,"0,28%","0,04%",564.771,18632
Switzerland,CHE,"0,35%","0,02%",566.231,
Syria,SYR,"0,00%","0,00%",,1431
Sгo Tomй and Prнncipe,STP,,,0.745,
Taiwan Province of China,TWN,,,1339.812,
Tajikistan,TJK,"0,01%","0,00%",34.131,713
Tanzania,TZA,"0,00%","0,00%",193.504,384
Thailand,THA,"0,00%","0,00%",1377.535,1795
The Bahamas,BHS,,,12.798,
The Gambia,GMB,,,6.412,
Timor-Leste,TLS,,,2.017,
